context	ru	de	en	es	fr	it	ja	ko	zh_Hans	zh_Hant
hub1_asuna_archive_1_22	У тебя найдется?	Hast du das?	Do you have any?	¿Tienes?	Tu en as ?	Ne hai?	持ってる？	혹시 있으신가요?	你这里有吗？	你有嗎？
hub1_asuna_archive_1_23	У тебя найдется?	Hast du etwas?	Do you have any?	¿Lo tienes?	Tu en as un ?	Ne hai?	持ってる？	혹시 가지고 있나요?	你那里有吗？	你有嗎？
hub1_asuna_archive_1_24	Для тебя все найдется.	Für dich findet sich alles.	I have everything for you.	Para ti, todo lo que quieras.	J'en ai toujours un pour toi.	Per te c'è tutto.	あなたのためなら何でも揃えてあげるわ。	당신을 위해서라면 뭐든지 다 있죠.	你要什么都有。	你要的都有。
hub1_asuna_archive_1_25	Теперь понятно где искать информацию об Аки.	Jetzt weiß ich, wo ich nach Informationen über Aki suchen muss.	Now I know where to look for information about Aki.	Ahora sé dónde buscar información sobre Aki.	Maintenant, je sais où chercher des informations sur Aki.	Ora so dove cercare informazioni su Aki.	これでアキの情報を探す場所がわかったぜ。	이제 아키에 대한 정보를 어디서 찾아야 할지 알겠네.	现在清楚该去哪儿找阿基的消息了。	現在我知道去哪裡找亞希的資訊了。
hub1_fisherman_quest_4_1	Ух, сразу жить захотелось. Спасибо вам, ребятки.	Uff, da will man gleich wieder leben. Danke euch, Jungs.	Ugh, suddenly I wanna live. Thanks, fellas.	Uf, me han entrado ganas de vivir. Gracias, chicos.	Ouf, ça me donne envie de vivre. Merci, les gars.	Uff, mi è tornata subito la voglia di vivere. Grazie, ragazzi.	おお、急に生きる気力が湧いてきたよ。ありがとな、若いの。	와, 갑자기 살 맛 나네. 고마워, 친구들.	哇，一下子就来劲了。谢了伙计们。	呼，我突然又想活下去了。謝謝你們，小夥子們。
hub1_fisherman_quest_4_2	Угорь где?	Wo ist der Aal?	Where's the eel?	¿Dónde está la anguila?	Où est l'anguille ?	Dov'è l'anguilla?	ウナギはどこだ？	장어는 어디 있냐?	鳗鱼在哪儿？	鰻魚呢？
hub1_fisherman_quest_4_3	Да я его продал в гейшам в чайном домике.	Den habe ich den Geishas im Teehaus verkauft.	I sold it to the geishas at the tea house.	Se la vendí a las geishas de la casa de té.	Je l'ai vendue aux geishas de la Maison de Thé.	L'ho venduta alle geisha della casa da tè.	あれは茶屋の芸者さんに売っちゃったよ。	아, 그건 찻집 게이샤들에게 팔았어.	我卖给茶屋的艺伎了。	我把它賣給茶館的藝伎了。
hub1_fisherman_quest_4_4	Они мои любимые покупательницы.	Sie sind meine Lieblingskundinnen.	They're my favorite customers.	Son mis clientas favoritas.	Ce sont mes clientes préférées.	Sono le mie clienti preferite.	あの子たちは俺のお気に入りのお客さんなんだ。	걔네가 내 단골 손님이거든.	她们可是我的老主顾。	她們是我的老主顧了。
hub1_fisherman_quest_4_5	БЛЯЯЯЯЯ…	SCHEEEEIIIIẞEEEE…	FUUUUUUCK…	JODEEEEER…	PUUUUTAIN…	CAZZOOOO…	クソォォォォ…	씨이이이발…	我操……	他媽的……
hub1_fisherman_quest_4_6	Ладно. Чайный домик.	Na gut. Teehaus.	Alright. Tea house.	Vale. La casa de té.	Bon. La Maison de Thé.	Va bene. Casa da tè.	仕方ねえ。茶屋か。	됐어. 찻집으로 가자.	行吧。茶屋。	好吧。茶館。
hub1_teahouse_2_1	Цуру, ты доставишь послание.	Tsuru, du lieferst die Nachricht ab.	Tsuru, you'll deliver the message.	Tsuru, tú entregarás el mensaje.	Tsuru, tu livreras le message.	Tsuru, tu consegnerai il messaggio.	ツル、あなたが手紙を届けなさい。	츠루, 네가 이 편지를 전해 주렴.	鹤，你去送信。	鶴，妳去送這封信。
hub1_teahouse_2_2	Вынуждена отказать, госпожа Яэко. Я не хочу, чтобы меня видели в этом районе.	Ich muss ablehnen, Lady Yaeko. Ich möchte in diesem Viertel nicht gesehen werden.	I must refuse, Lady Yaeko. I don't want to be seen in this district.	Me veo obligada a negarme, señora Yaeko. No quiero que me vean en este barrio.	Je suis forcée de refuser, Madame Yaeko. Je ne veux pas être vue dans ce quartier	Devo rifiutare, signora Yaeko. Non voglio essere vista in questo quartiere.	お断りします、八重子様。あの界隈で私が見られるのはごめんです。	거절해야겠어요, 야에코 님. 이 동네에서 제가 보이는 건 원치 않아요.	恕难从命，八重子夫人。我不想被人看见出现在那个区域。	矢重子夫人，我不得不拒絕。我不想在這個地區被人看見。
hub1_teahouse_2_3	Купец Сэго подумает, что я обслуживаю его конкурентов. А он мой лучший клиент.	Händler Sego würde denken, ich bediene seine Konkurrenten. Und er ist mein bester Kunde.	Merchant Sego will think I'm serving his competitors. And he's my best client.	El mercader Sego pensará que atiendo a sus competidores. Y él es mi mejor cliente.	Le marchand Sego pensera que je sers ses concurrents. Et c’est mon meilleur client.	Il mercante Sego penserà che servo i suoi concorrenti. Ed è il mio miglior cliente.	瀬後商人が競合相手の相手をしていると思い込むでしょう。彼は私の最高のお客様ですから。	세고 상인이 제가 그의 경쟁자들을 상대한다고 생각할 거예요. 그는 제 최고의 고객이에요.	濑户商人会以为我在服务他的竞争对手。而他可是我最好的主顾。	商人瀨戶會認為我在為他的競爭對手服務。而他是我的最佳客戶。
hub1_teahouse_2_4	Я могу сходить, госпожа Яэко.	Ich kann gehen, Lady Yaeko.	I can go, Lady Yaeko.	Yo puedo ir, señora Yaeko.	Je peux y aller, Madame Yaeko	Posso andarci io, signora Yaeko.	私が行けます、八重子様。	제가 갈 수 있어요, 야에코 님.	我可以去，八重子夫人。	矢重子夫人，我可以去。
hub1_teahouse_2_5	Момо, ты нюня и плакса. Ты все испоганишь. Поэтому пойти должна Цуру.	Momo, du bist ein Weichei und eine Heulsuse. Du wirst alles versauen. Deshalb muss Tsuru gehen.	Momo, you're a whiner and a crybaby. You'll screw everything up. So Tsuru has to go.	Momo, eres una llorica y una quejica. Lo estropearás todo. Por eso debe ir Tsuru.	Momo, tu es une pleurnicheuse et une mauviette. Tu vas tout gâcher. C’est pourquoi Tsuru doit y aller.	Momo, sei una piagnucolona e una frignona. Rovinerai tutto. Per questo deve andare Tsuru.	モモ、お前は泣き虫で弱虫だ。全部台無しにする。だからツルが行くべきだ。	모모, 너는 겁쟁이에 울보야. 네가 다 망칠 거야. 그래서 츠루가 가야 해.	桃，你就是个爱哭的软蛋。你会搞砸一切的。所以该去的人是鹤。	桃，你這個愛哭鬼。你會把一切都搞砸的。所以鶴必須去。
hub1_teahouse_2_6	Вы оглохли, госпожа Яэко? Я СКАЗАЛА, Я НИКУДА НЕ ПОЙДУ!	Sind Sie taub, Lady Yaeko? Ich HABE GESAGT, ICH GEHE NIRGENDWO HIN!	Are you deaf, Lady Yaeko? I SAID, I'M NOT GOING ANYWHERE!	¿Se ha quedado sorda, señora Yaeko? ¡HE DICHO QUE NO VOY A NINGÚN SITIO!	Vous êtes sourde, Madame Yaeko ? J’AI DIT QUE JE N’IRAIS NULLE PART !	Siete sorda, signora Yaeko? HO DETTO CHE NON CI VADO!	耳が遠いのですか、八重子様？行かないって言ったでしょうが！	귀가 먹었어요, 야에코 님? 제가 말했잖아요, 전 안 간다고요!	您聋了吗，八重子夫人？我说了，我哪儿都不去！	矢重子夫人，你聾了嗎？我說了，我哪兒也不去！
hub1_teahouse_2_7	Как будто у тебя есть выбор! Запомни, соплячка, ты моя собственность!	Als ob du eine Wahl hättest! Merk dir, Göre, du bist mein Eigentum!	As if you have a choice! Remember, you little brat, you're my property!	¡Como si tuvieras elección! ¡Recuerda, mocosa, eres de mi propiedad!	Comme si tu avais le choix ! Retiens bien, morveuse, tu es ma propriété !	Come se avessi scelta! Ricorda, mocciosa, sei di mia proprietà!	選択肢があると思ってるのか！覚えておけ、小娘、お前は俺の所有物だ！	너한테 선택권이 있는 것처럼! 기억해, 꼬맹아, 넌 내 소유물이야!	好像你还有得选似的！给我记住，臭丫头，你可是我的财产！	好像你有選擇一樣！記住，小丫頭，你是我的財產！
hub1_teahouse_2_8	Пока я приношу больше всего мон чайному домику, то могу делать что захочу.	Solange ich dem Teehaus die meisten Mon einbringe, kann ich tun, was ich will.	As long as I bring in the most mon for the tea house, I can do whatever I want.	Mientras aporte la mayor cantidad de mon a la casa de té, puedo hacer lo que quiera.	Tant que j’apporte le plus de mon à la maison de thé, je peux faire ce que je veux.	Finché porto più mon alla casa da tè, posso fare quello che voglio.	私が茶屋に一番多くの文をもたらしている限り、好きなようにできるわ。	내가 찻집에 가장 많은 돈을 벌어다 주는 한, 난 내가 원하는 대로 할 수 있어.	只要我还在为茶屋赚最多的钱，我想做什么都行。	只要我為茶館賺的錢最多，我就能為所欲為。
hub1_teahouse_2_9	Ах, ты мелкая дрянь…	Ach, du kleines Miststück…	Oh, you little bitch…	Ay, pequeña alimaña…	Ah, sale petite garce…	Ah, piccola carogna…	ああ、この小賢しい小娘め…	아, 이 꼬마 자식…	啊，你这小贱货……	啊，你這個小賤人……
hub1_teahouse_2_10	Извините, дамы, можно помешать вашей беседе…	Entschuldigen Sie, meine Damen, darf ich Ihr Gespräch unterbrechen…	Excuse me, ladies, may I interrupt your conversation…	Disculpen, señoras, ¿podría interrumpir su conversación…?	Excusez-moi, mesdames, puis-je interrompre votre conversation…	Scusate, signore, posso interrompere la vostra conversazione…	失礼ですが、お嬢様方、お話の邪魔をしてもよろしいでしょうか…	실례합니다, 숙녀분들, 대화 좀 방해해도 될까요…	抱歉，女士们，能否打扰一下你们的谈话……	抱歉，女士們，我可以打斷你們的談話嗎……
hub1_teahouse_2_11	А вам что надо, оборванцы?	Und was wollt ihr, Lumpen?	What do you want, you beggars?	¿Y ustedes qué quieren, harapientos?	Et vous, que voulez-vous, vauriens ?	E voi cosa volete, straccioni?	お前ら何の用だ、ぼろぼろ野郎？	너희는 또 뭔데, 거지 새끼들?	你们又有什么事，穷酸鬼？	你們這些乞丐，有什麼事？
hub1_teahouse_2_12	По вам сразу видно, что у вас нет денег, чтобы даже рядом с чайным домиком постоять.	Man sieht Ihnen sofort an, dass Sie nicht einmal das Geld haben, um in der Nähe des Teehauses zu stehen.	It's obvious you don't have enough money to even stand near a tea house.	Por vuestra pinta, se ve que no tenéis dinero ni para estar cerca de la casa de té.	On voit tout de suite que vous n'avez pas d'argent, même pour vous tenir près de la maison de thé.	Si vede subito che non hai i soldi nemmeno per stare vicino alla casa da tè.	お前ら金がなさそうなのは一目瞭然だぜ、茶屋の近くにすら立ってられないくらいだ。	당신들을 보니 찻집 근처에 서 있을 돈조차 없다는 게 바로 보이네요.	一看就知道你们连站在茶屋旁边的钱都没有。	你們一看就知道沒錢，連茶館旁邊都站不起。
hub1_teahouse_2_13	Как хорошо, что мои кулаки бесплатные.	Wie gut, dass meine Fäuste gratis sind.	Good thing my fists are free.	Qué bien que mis puños son gratis.	Tant mieux, mes poings sont gratuits.	Meno male che i miei pugni sono gratis.	俺の拳がタダで使えるのはありがてえな。	내 주먹은 공짜라서 다행이네.	幸好我的拳头是免费的。	我的拳頭是免費的，這可真好。
hub1_teahouse_2_14	Извините, нам просто нужно забрать угря, которого вам продали утром.	Entschuldigen Sie, wir müssen nur den Aal holen, den Sie heute Morgen verkauft haben.	Excuse me, we just need to pick up the eel you sold this morning.	Disculpe, solo necesitamos el anguila que le vendieron esta mañana.	Excusez-nous, nous devons juste récupérer l'anguille qu'on vous a vendue ce matin.	Scusate, dobbiamo solo riprendere l'anguilla che vi hanno venduto stamattina.	すみません、今朝売られたウナギを回収したいだけなんです。	실례합니다, 아침에 팔았던 장어를 찾으러 왔습니다.	抱歉，我们只是需要取回早上卖给你们的那条鳗鱼。	抱歉，我們只是要拿回你們早上賣掉的鰻魚。
hub1_teahouse_2_15	АХХАХАХА, мальчики, у вас проблемы с вашими нефритовыми жезлами?	AHAHAHAHA, Jungs, habt ihr Probleme mit euren Jade-Stäben?	AHAHAHAHA, boys, are you having trouble with your jade rods?	JAJAJAJA, chicos, ¿tenéis problemas con vuestras varas de jade?	AHHAHAHA, les garçons, vous avez des problèmes avec vos baguettes de jade ?	AHAHAHAHA, ragazzi, avete problemi con le vostre bacchette di giada?	アハハハハ、坊ちゃんたち、翡翠の竿に問題でもあるの？	아하하하, 얘들아, 너희 옥 같은 자지에 문제라도 있어?	啊哈哈哈哈，小伙子们，你们的玉茎出问题了吗？	啊哈哈哈，小夥子們，你們的玉棒有問題嗎？
hub1_teahouse_2_16	Че?	Was?	Huh?	¿Qué?	Quoi ?	Cosa?	は？	뭐?	啥？	啥？
hub1_teahouse_2_17	Просто порошок из этой рыбы помогает мужчинам, чтобы их… жезл… ну, дольше…	Das Pulver von diesem Fisch hilft Männern, damit ihr… Stab… nun ja, länger…	It's just that powder from this fish helps men so their… rod… well, longer…	Es que el polvo de este pescado ayuda a los hombres para que su… vara… bueno, más tiempo…	La poudre de ce poisson aide les hommes à ce que leur… baguette… enfin, plus longtemps…	La polvere di questo pesce aiuta gli uomini a far sì che la loro… bacchetta… beh, più a lungo…	その魚の粉は男の…竿が…えっと、長く…	그 생선 가루는 남자들이... 자지가... 음, 더 오래... 하게 도와준다나 봐	只是这种鱼的粉末能帮助男人让他们的……茎……嗯，更持久……	這種魚的粉末能幫助男人，讓他們的……棒子……嗯，更持久……
hub1_teahouse_2_18	По ним видно, что они нуждаются в этом.	Man sieht ihnen an, dass sie es brauchen.	They clearly need it.	Por ellos se ve que lo necesitan.	On voit bien qu'ils en ont besoin.	Si vede che ne hanno bisogno.	彼らにはそれが必要そうだわ。	걔네 보면 그게 필요해 보이잖아.	一看就知道他们需要这个。	他們看起來很需要。
hub1_teahouse_2_19	ВСЕ! Хорошо, что мне все равно кому бить морду.	ALLES KLAR! Gut, dass es mir egal ist, wem ich die Fresse poliere.	THAT'S IT! Good thing I don't care whose face I punch.	¡YA ESTÁ! Menos mal que me da igual a quién partir la cara.	ÇA SUFFIT ! Tant mieux, ça m'est égal à qui je casse la gueule.	BENE! Meno male che non mi importa chi picchiare.	もういい！ 誰の顔をぶっ飛ばしても構わねえからな。	됐어! 누구 얼굴을 때리든 상관없으니 다행이네.	够了！反正我揍谁的脸都无所谓。	夠了！反正我打誰都一樣。
hub1_teahouse_2_20	Потише, потише, мальчик. Угря уже приготовили на кухне и подали клиентам.	Ruhig, ruhig, Junge. Der Aal wurde bereits in der Küche zubereitet und den Gästen serviert.	Easy, easy, boy. The eel has already been prepared in the kitchen and served to customers	Tranquilo, tranquilo, chico. El anguila ya está preparado en la cocina y servido a los clientes.	Doucement, doucement, mon garçon. L'anguille a déjà été préparée en cuisine et servie aux clients	Calma, calma, ragazzo. L'anguilla è già stata preparata in cucina e servita ai clienti.	落ち着きなさい、子よ。ウナギはもう調理されて客に出てしまったわ。	진정해, 진정해, 꼬마야. 장어는 이미 주방에서 요리해서 손님들께 내놨단다.	冷静点，冷静点，孩子。鳗鱼已经在厨房做好端给客人了。	安靜點，安靜點，小夥子。鰻魚已經在廚房裡煮好，端給客人了。
hub1_teahouse_2_21	Ты опоздал, к сожалению.	Sie sind leider zu spät.	You're too late, unfortunately.	Llegas tarde, por desgracia.	Tu es en retard, malheureusement.	Sei in ritardo, purtroppo.	残念だが、遅かったのよ。	안타깝게도 너는 늦었어.	可惜你来晚了。	很可惜，你來晚了。
hub1_teahouse_2_22	Да и не советую тебе размахивать кулаками. У меня связи по всему городу.	Ich rate dir auch, die Fäuste stecken zu lassen. Ich habe Verbindungen in der ganzen Stadt.	And I wouldn't advise you to throw punches. I got connections all over the city.	Y no te aconsejo que andes dando puñetazos. Tengo contactos por toda la ciudad.	Je ne te conseille pas de te battre. J'ai des relations dans toute la ville	E non ti consiglio di usare i pugni. Ho contatti in tutta la città.	拳を振り回すのはお勧めしませんよ。この街のあちこちに私の繋がりがありますから。	그리고 주먹을 휘두르지 않는 게 좋을 거야. 나는 도시 전체에 연줄이 있으니까.	而且我也不建议你随便挥拳头。我在城里到处都有关系。	我也不建議你揮舞拳頭。我在城裡到處都有關係。
hub1_teahouse_2_23	Стоит мне щелкнуть пальцами, и они узнают о том, что в Трущобах скрывается дзинко.	Ich muss nur mit den Fingern schnippen, und sie wissen, dass sich ein Jinko in den Elendsvierteln versteckt.	All I gotta do is snap my fingers, and they'll know there's a Jinko hidin' in the Slums.	Me basta con chasquear los dedos para que se enteren de que hay un jinko escondido en los Barrios Bajos.	Il me suffit de claquer des doigts pour qu'ils apprennent qu'un Jinko se cache dans les Bas-fonds.	Mi basta schioccare le dita e sapranno che un Jinko si nasconde nei Bassifondi.	指を鳴らせば、スラム街に忍狐が潜んでいることを連中に知らせることができますわ。	내가 손가락만 튕겨도, 그들은 빈민가에 진코가 숨어 있다는 걸 알게 될 거야.	只要我打个响指，他们就会知道贫民窟里藏着一个忍狐。	我只要動動手指，他們就會知道貧民窟裡藏著一個忍狐。
hub1_teahouse_2_24	А че, твои гейши много где бывают?	Und, sind deine Geishas viel unterwegs?	So, your geishas get around a lot?	¿Y qué, tus geishas van a muchos sitios?	Et tes geishas, elles vont souvent partout ?	Ehi, le tue geisha vanno in molti posti?	おい、お前の芸者たちはあちこち行くのか？	어, 네 게이샤들은 여러 곳에 다니나?	咋的，你的艺伎们经常到处跑？	那，你的藝伎們常去很多地方嗎？
hub1_teahouse_2_25	Да, обслуживают клиентов по всему городу.	Ja, sie bedienen Kunden in der ganzen Stadt.	Yes, they serve clients all over the city.	Sí, atienden a clientes por toda la ciudad.	Oui, elles servent des clients dans toute la ville.	Sì, servono clienti in tutta la città.	ええ、街中の客のところへ伺っていますわ。	네, 도시 전체의 고객들을 상대하지.	是啊，她们在全城各处接待客人。	是的，她們為城裡各處的客人服務。
hub1_teahouse_2_26	А в Архивах?	Auch in den Archiven?	What about the Archives?	¿Y en los Archivos?	Et aux Archives ?	E negli Archivi?	帝国書庫には？	기록 보관소에도?	那档案馆呢？	那檔案館呢？
hub1_teahouse_2_27	Ближе к делу, молодой человек.	Kommen wir zur Sache, junger Mann.	Let's get to the point, young man.	Al grano, joven.	Allons droit au but, jeune homme.	Vieni al dunque, giovane.	本題に入りなさい、若い人。	본론으로 들어가자, 젊은이.	年轻人，说正事吧。	年輕人，言歸正傳吧。
hub1_teahouse_2_28	Мне нужно как то скрытно попасть в Императорские архивы.	Ich muss irgendwie heimlich in die Kaiserlichen Archive gelangen.	I need to get into the Imperial Archives stealthily.	Necesito entrar de alguna manera en los Archivos Imperiales sin que me vean.	Je dois me rendre discrètement aux Archives Impériales	Devo entrare di nascosto negli Archivi Imperiali.	帝国書庫にこっそり入る方法が必要なんだ。	제국 기록 보관소에 몰래 들어갈 방법이 필요해.	我需要想办法悄悄潜入帝国档案馆。	我需要秘密潛入帝國檔案館。
hub1_teahouse_2_29	Как я понимаю твои гейши знают как?	Ich nehme an, deine Geishas wissen, wie?	And I take it your geishas know how?	¿Y tus geishas saben cómo, por lo que veo?	Si je comprends bien, tes geishas savent comment faire ?	Immagino che le tue geisha sappiano come fare?	俺の考えでは、お前の芸者たちが方法を知ってるんだろ？	네 게이샤들이 방법을 알고 있다고 생각하는데?	我猜你的艺伎们知道怎么进去？	我猜你的藝伎們知道怎麼做？
hub1_teahouse_2_30	Какое совпадение. У меня предложение, которое будет выгодно нам обоим, молодой человек.	Was für ein Zufall. Ich habe ein Angebot, das für uns beide von Vorteil ist, junger Mann.	What a coincidence. I have a proposition that will benefit us both, young man.	Qué coincidencia. Tengo una propuesta que nos beneficiará a ambos, joven.	Quel hasard. J'ai une proposition qui nous sera profitable à tous les deux, jeune homme.	Che coincidenza. Ho una proposta che sarà vantaggiosa per entrambi, giovane.	偶然ですね。お互いにとって都合の良い提案がありますわ、若い人。	참 우연이네. 나한테 우리 둘 모두에게 이익이 될 제안이 있어, 젊은이.	真巧啊。年轻人，我有个对我们双方都有利的提议。	真是巧合。年輕人，我有一個對我們雙方都有利的主意。
hub1_teahouse_2_31	Доставь это послание нашему человеку в Нижнем Городе и он даст тебе ключ от туннелей под городом.	Überbringe diese Nachricht unserem Mann in der Unterstadt, und er wird dir den Schlüssel zu den Tunneln unter der Stadt geben.	Deliver this message to our contact in the Lower City, and he'll give you the key to the tunnels beneath the city.	Entrega este mensaje a nuestro contacto en la Ciudad Baja y él te dará la llave de los túneles bajo la ciudad.	Remets ce message à notre contact dans la Ville Basse et il te donnera la clé des tunnels sous la ville	Consegna questo messaggio al nostro uomo nella Città Bassa e ti darà la chiave dei tunnel sotto la città.	この手紙を下町の私たちの者に届けてください。彼が街の地下のトンネルへの鍵を渡しますから。	이 편지를 하부 도시에 있는 우리 사람에게 전해 주면, 그는 도시 아래 터널의 열쇠를 줄 거야.	把这封信送到下城区我们的人手里，他会给你通往城市地下隧道的钥匙。	把這封信送到我們在下城區的人手裡，他會給你城下隧道的鑰匙。
hub1_teahouse_2_32	Там можно попасть в Архив.	Dort gelangt man zum Archiv.	You can get to the Archives from there.	Allí puedes acceder a los Archivos.	On peut y accéder aux Archives	Lì puoi accedere agli Archivi.	そこから書庫へ行けるのじゃ。	거기서 기록 보관소에 들어갈 수 있어.	从那里可以进入档案馆。	那裡可以進入檔案館。
hub1_teahouse_2_33	Сделка?	Ein Geschäft?	Deal?	¿Trato hecho?	Marché conclu ?	Affare fatto?	取引じゃな？	거래?	成交？	成交？
hub1_teahouse_2_34	Уговор.	Abgemacht.	Deal.	Trato hecho.	Marché conclu	Affare fatto.	了解だぜ。	약속.	一言为定。	成交。
hub1_teahouse_2_35	Леон, ты с ума сошел? Как ты проберешься через Нижний город?	Leon, bist du verrückt? Wie willst du durch die Unterstadt kommen?	Leon, have you lost your mind? How're you gonna get through the Lower City.	Leon, ¿te has vuelto loco? ¿Cómo vas a cruzar la Ciudad Baja?	Leon, tu es fou ? Comment vas-tu traverser la Ville Basse.	Leon, sei impazzito? Come farai ad attraversare la Città Bassa?	レオン、正気か？下町をどうやって抜けるつもりだ。	레온, 너 미쳤어? 어떻게 하부 도시를 통과할 거야.	莱昂，你疯了吗？你怎么穿过下城区。	雷恩，你瘋了嗎？你要怎麼穿過下城區？
hub1_teahouse_2_36	По крышам.	Über die Dächer.	Over the rooftops.	Por los tejados.	Par les toits.	Sui tetti.	屋根伝いだ。	지붕 위로.	走屋顶。	走屋頂。
hub1_teahouse_2_37	Мне нравится твой настрой.	Ich mag deine Einstellung.	I like your attitude.	Me gusta tu actitud.	J'aime ton attitude	Mi piace il tuo atteggiamento.	その心意気は気に入ったのう。	네 태도가 마음에 드는구나.	我喜欢你的态度。	我喜歡你的態度。
hub1_teahouse_2_38	Я думаю у барахольщика Хадзуо ты найдешь что-нибудь, что поможет тебе в этом пути.	Ich denke, beim Trödler Hazuo findest du etwas, das dir auf diesem Weg helfen wird.	I think you'll find something at Hazuo the junk dealer's that'll help you on your way.	Creo que en la tienda de trastos de Hazuo encontrarás algo que te ayude en tu camino.	Je pense que tu trouveras quelque chose chez le brocanteur Hazuo qui t'aidera sur ce chemin.	Credo che dal rigattiere Hazuo troverai qualcosa che ti aiuterà in questo viaggio.	あの雑貨屋のハズオなら、道中の助けになるものを探せるじゃろう。	잡화점 하즈오에게 가면 네 여정에 도움이 될 만한 걸 찾을 수 있을 거야.	我想在旧货贩子哈祖奥那儿你能找到些对旅途有帮助的东西。	我想你可以在葉月那裡找到一些東西，可以幫助你完成這趟旅程。
hub1_teahouse_2_39	Что именно?	Was genau?	What exactly?	¿El qué?	Quoi exactement ?	Cosa, esattamente?	具体的には？	정확히 뭔데?	具体是什么？	什麼東西？
hub1_teahouse_2_40	Он же барахольщик. Какое-нибудь барахло.	Er ist ein Trödler. Irgendein Trödel.	He's a junk dealer. Some junk.	Es un chatarrero. Algún trasto.	C'est un brocanteur. N'importe quelle babiole.	È un rigattiere. Qualche cianfrusaglia.	彼は雑貨屋じゃ。何かしらの雑貨じゃよ。	잡화점 주인이잖아. 잡동사니 같은 거겠지.	他就是个收破烂的。随便什么破烂玩意儿。	他就是個收破爛的。一些破爛貨。
hub1_teahouse_2_41	Ладно, я загляну к нему.	Na gut, ich schau mal bei ihm vorbei.	Alright, I'll check him out.	Vale, iré a verle.	D'accord, je passerai le voir	Va bene, gli farò visita.	わかった、寄ってみるぜ。	알았어, 그 놈한테 들러볼게.	行吧，我去找他看看。	好吧，我會去看看他。
hub1_scrappy_2_1	А, мои племяннички вернулись!	Ah, meine Neffen sind zurück!	Ah, my nephews are back!	¡Ah, mis sobrinitos han vuelto!	Ah, mes neveux sont de retour !	Ah, i miei nipotini sono tornati!	ああ、我が甥たちが戻ってきたのじゃ！	아, 내 조카들이 돌아왔구나!	啊，我的侄子们回来了！	啊，我的侄子們回來了！
hub1_scrappy_2_2	В поисках знаний, или вас привела нужда?	Auf der Suche nach Wissen, oder hat euch die Not hierhergetrieben?	Seekin' knowledge, or has need brought ya here?	¿En busca de conocimiento, o la necesidad os ha traído?	En quête de savoir, ou le besoin vous a-t-il amenés ?	In cerca di conoscenza, o è la necessità che vi ha portato qui?	知識を求めてか、それとも困窮に導かれてか？	지식을 찾으러 왔느냐, 아니면 궁핍함이 너희를 데려왔느냐?	是来寻求知识，还是迫于需要？	是來尋求知識，還是有什麼需要？
hub1_scrappy_2_3	Нужно что-то, чтобы по крышам пройти.	Wir brauchen etwas, um über die Dächer zu kommen.	We need somethin' to get across the rooftops.	Necesitamos algo para pasar por los tejados.	Il nous faut quelque chose pour passer par les toits.	Ci serve qualcosa per passare sui tetti.	屋根伝いに進むための何かが必要なんです。	지붕을 건너가려면 뭔가 필요해요.	需要点能在屋顶上行走的东西。	我們需要一些東西，好能從屋頂上走過去。
hub1_scrappy_2_4	По крышам, говорите…	Über die Dächer, sagt ihr …	Rooftops, you say…	Por los tejados, decís…	Par les toits, dites-vous…	Sui tetti, dite…	屋根伝い、とおっしゃる…	지붕을 건넌다고…	屋顶行走，你说……	從屋頂上走過去，你說的……
hub1_scrappy_2_5	Ах! Это напоминает мне о мостах из бамбука времён императора Акито!	Ach! Das erinnert mich an die Bambusbrücken aus der Zeit von Kaiser Akito!	Ah! That reminds me of the bamboo bridges from Emperor Akito's time!	¡Ah! ¡Esto me recuerda a los puentes de bambú de la época del emperador Akito!	Ah ! Cela me rappelle les ponts de bambou du temps de l’empereur Akito	Ah! Questo mi ricorda i ponti di bambù dell'epoca dell'imperatore Akito!	あっ！これはアキト帝時代の竹橋を思い出させるわい！	아! 이거야말로 아키토 황제 시대의 대나무 다리를 떠올리게 하는구나!	啊！这让我想起了明人天皇时代的竹桥！	啊！這讓我想起了明人皇帝時代的竹橋！
hub1_scrappy_2_6	Знаете ли вы, что его войска…	Wisst ihr, seine Truppen …	Did you know his troops…	¿Sabéis que sus tropas…	Savez-vous que ses troupes…	Sapete che le sue truppe…	ご存じか、その軍勢は…	그의 군대가…	你们可知道他的军队……	你知道嗎，他的軍隊……
hub1_scrappy_2_7	Ты уверен, что у тебя в лавке вообще есть хоть что-то полезное?	Bist du sicher, dass du überhaupt etwas Nützliches in deinem Laden hast?	You sure you got anything useful in your shop?	¿Estás seguro de que tienes algo útil en tu tienda?	Tu es sûr que tu as quoi que ce soit d’utile dans ta boutique ?	Sei sicuro che nel tuo negozio ci sia qualcosa di utile?	お前の店にマジで役立つもんがあるのか？	너네 가게에 쓸만한 거라도 있는 거 맞아?	你确定你这破店里真有什么有用的东西吗？	你確定你的店裡真的有任何有用的東西嗎？
hub1_scrappy_2_8	Вот, к примеру, веер придворной дамы.	Hier, zum Beispiel, der Fächer einer Hofdame.	Here, for example, a court lady's fan.	Aquí, por ejemplo, el abanico de una dama de la corte.	Tenez, par exemple, un éventail de dame de cour.	Ecco, per esempio, un ventaglio da dama di corte.	例えば、宮廷婦人の扇子じゃ。	예를 들어, 궁중 여인의 부채 말이지.	比如，宫廷仕女的扇子。	例如，這是宮廷女士的扇子。
