pos	context	speaker	ru	en	fr	ru_checks	en_checks	fr_checks	en_lost_final_punct	fr_lost_final_punct	en_hidden_checks	fr_hidden_checks	duplicate_divergence
315	hub1_bathman_1_11	Ichiro	Заходите, бойцы! Сегодня и каждый день банный марафон!	Come on in, fighters! Today and every day, it's a bathhouse marathon!	Entrez, combattants ! Aujourd'hui et tous les jours, c'est marathon du bain !								
316	hub1_fisherman_quest_5_1	Ray	Ты можешь поймать еще одного угря?\n	Can you catch another eel?\n	Peux-tu attraper une autre anguille ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
317	hub1_fisherman_quest_5_2	Unagi	 Сам ловить? Ха… нет уж. 	 Catch it myself? Ha... no thanks. 	 En pêcher une moi-même ? Ha… non merci. 								
318	hub1_fisherman_quest_5_3	Unagi	Мои руки… для кружки, не для удочки. 	My hands... are for a mug, not a fishing rod. 	Mes mains… sont faites pour la chope, pas pour la canne à pêche. 								
319	hub1_fisherman_quest_5_4	Unagi	Но вас научу…	But I'll teach you…	Mais je peux vous apprendre…								
320	hub1_fisherman_quest_5_5	Leon	Так ты пьяный вусмерть.	You're drunk off your ass.	Alors tu es ivre mort.								
321	hub1_fisherman_quest_5_6	Leon	Чему ты вообще можешь научить?	What can you even teach?	Qu'est-ce que tu peux bien m'apprendre, toi ?								
322	hub1_fisherman_quest_5_7	Unagi	Рыбу не я ловлю. 	I don't catch fish. 	Ce n'est pas moi qui pêche. 								
323	hub1_fisherman_quest_5_8	Unagi	Рыба сама приходит… если правильно позвать.\n	The fish come to me… if you call 'em right.\n	Le poisson vient tout seul… si on l'appelle correctement.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
324	hub1_fisherman_quest_5_9	Unagi	Сушёная лягушка — приманка.	Dried frog is bait.	Une grenouille séchée, c'est l'appât.								
325	hub1_fisherman_quest_5_10	Unagi	Бросаешь туда, под корягу. 	You throw it there, under the snag. 	Tu la jettes là, sous la souche. 								
326	hub1_fisherman_quest_5_11	Unagi	Дёргаешь… три раза. Три. Не два… не пять. Три.\n	You tug… three times. Three. Not two… not five. Three.\n	Tu tires… trois fois. Trois. Pas deux… pas cinq. Trois.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
327	hub1_fisherman_quest_5_12	Leon	 Может, ещё хором посчитаем? Раз, два, три?	 Maybe we should count together? One, two, three?	 On peut compter en chœur, si tu veux ? Un, deux, trois ?								
328	hub1_fisherman_quest_5_13	Unagi	Посчитайте. Угрю всё равно… 	Count. The eel don't care… 	Comptez. L'anguille s'en fout… 								
329	hub1_fisherman_quest_5_14	Unagi	а вам веселее будет.	but you'll have more fun.	et vous, ça vous amusera.								
330	hub1_fisherman_quest_5_15	Ray	Спасибо. Мы попробуем.	Thank you. We will try.	Merci. Nous allons essayer.								
331	hub1_fisherman_quest_5_16	Unagi	 Ну… вот. У вас пошло…	 Well... there. You got it…	 Bon… voilà. Ça a marché…								
332	hub1_fisherman_quest_5_17	Unagi	Зови, если цунами… а мне надо проспаться…\n	Call me if there's a tsunami... I gotta sleep this off...\n	Appelle si y a un tsunami… moi, faut que je cuve…\n	multiple_failures	end_newline,newline-count	end_newline,newline-count			end_ellipsis,end_stop		
333	hub1_fisherman_quest_5_18	Leon	Вот охеревший.	What a dick.	Quel enfoiré.								
334	hub1_fisherman_quest_5_19	Ray	 Зато мы хорошо проведём время.	 But we'll have a good time.	 Mais nous allons passer un bon moment.								
335	hub1_fisherman_quest_5_20	Leon	 Ну… посмотрим.\n	 Well... we'll see.\n	 On verra bien…\n	multiple_failures	end_newline,newline-count	end_newline,newline-count				end_ellipsis,end_stop	
336	hub1_fisherman_quest_6_1	Leon	Когда я этого угря выловлю...	When I catch that eel...	Quand j'aurai pêché cette anguille…	ellipsis							
337	hub1_fisherman_quest_6_2	Leon	я из него всю дурь выбью.	I'm gonna beat the shit outta him.	je lui ferai passer l'envie de faire le con.								
338	hub1_fisherman_quest_6_3	Leon	Какого черта так долго.	What the hell's takin' so long.	Pourquoi ça prend autant de temps, bordel.								
339	hub1_fisherman_quest_6_4	Ray	В тебе так много экспрессии!	You have so much expression!	Tu as tellement d'expression !								
340	hub1_fisherman_quest_6_5	Ray	Я никогда не встречал никого подобного.	I've never met anyone like you.	Je n'ai jamais rencontré quelqu'un comme toi.								
341	hub1_fisherman_quest_6_6	Leon	Так, я не понял.	Hold on, I don't get it.	Alors, j'ai pas compris.								
342	hub1_fisherman_quest_6_7	Leon	Ты меня типа унизил или мне показалось? 	Were you tryin' to insult me or somethin'? 	Tu m'as humilié ou c'est moi qui me suis fait des idées ? 								
343	hub1_fisherman_quest_6_8	Ray	Нет, нет, нет! У тебя очень необычная речь.	No, no, no! Your speech is very unusual.	Non, non, non ! Tu as une façon de parler très particulière.								
344	hub1_fisherman_quest_6_9	Ray	Ты рубишь с плеча...	You speak bluntly...	Tu vas droit au but...	ellipsis							
345	hub1_fisherman_quest_6_10	 Ray	но всегда своими словами попадаешь прямо в суть.	but your words always hit the mark.	mais tes mots touchent toujours juste.								
346	hub1_fisherman_quest_6_11	Ray	В твоей деревне все так общаются?	Does everyone in your village talk like that?	Dans ton village, tout le monde parle comme ça ?								
347	hub1_fisherman_quest_6_12	Ray	Такие же эмоциональные?	Are they all so emotional?	Aussi émotif ?								
348	hub1_fisherman_quest_6_13	Leon	А, ты про это.	Oh, you mean that.	Ah, tu parles de ça.								
349	hub1_fisherman_quest_6_14	Leon	Этот базар мне достался от мразей, у которых я провел всю свою жизнь. 	I picked up this way of talkin' from the scum I spent my whole life with 	Ce langage, je l'ai appris des ordures avec qui j'ai passé toute ma vie 				yes	yes	end_stop	end_stop	
350	hub1_fisherman_quest_6_15	Leon	А как было в моей родной деревне…я уже плохо помню.	And what it was like in my home village... I barely remember anymore.	Et comment c'était dans mon village natal... je m'en souviens à peine.								
351	hub1_fisherman_quest_6_16	Ray	Совсем ничего? 	Absolutely nothing? 	Vraiment rien du tout ? 								
352	hub1_fisherman_quest_6_17	Leon	Я помню сестру, как она мне лепила онигири...	I remember my sister, how she used to make me onigiri...	Je me souviens de ma sœur, elle me préparait des onigiri…	ellipsis							
353	hub1_fisherman_quest_6_18	Leon	как она заставляла убираться в нашей хижине	how she made me clean our hut	elle me forçait à nettoyer notre cabane								
354	hub1_fisherman_quest_6_19	Leon	постоянно играла со мной и шутила.	always played with me and joked around.	elle jouait et plaisantait toujours avec moi.								
355	hub1_fisherman_quest_6_20	Leon	Смешила меня. Мне казалось, что все будет хорошо.	Made me laugh. I thought everything would be fine.	Elle me faisait rire. Je pensais que tout irait bien.								
356	hub1_fisherman_quest_6_21	Leon	Ну…рядом с ней - всегда так было.	Well... with her around, it always was.	Enfin… avec elle, ça a toujours été comme ça.								
357	hub1_fisherman_quest_6_22	Ray	Мне так жаль это слышать.	I'm so sorry to hear that.	Je suis désolé d'entendre ça.								
358	hub1_fisherman_quest_6_23	Ray	Тебе наверное пришлось тяжело.	You must've had a hard time.	Tu as dû traverser des moments difficiles.								
359	hub1_fisherman_quest_6_24	Ray	Но хорошо, что у тебя есть эти воспоминания о сестре.	But it's good that you have these memories of your sister.	Mais c'est bien que tu aies ces souvenirs de ta sœur.								
360	hub1_fisherman_quest_6_25	Ray	Они как светлячки в ночи - выведут тебя на верный путь. 	They're like fireflies in the night—they'll lead you on the right path 	Ils sont comme des lucioles dans la nuit, ils te guideront sur le bon chemin 				yes	yes	end_stop	end_stop	
361	hub1_fisherman_quest_6_26	Leon	….\n	….\n	….\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
362	hub1_fisherman_quest_6_27	Leon	Слышь? 	Hey, 	Tu piges ? 				yes		end_question		
363	hub1_fisherman_quest_6_28	Leon	Этим задротским словечкам тебя твои родители чудилы научили?	Did your freak parents teach you all them nerdy words?	C’est tes parents, ces cinglés, qui t’ont appris ces mots de merde de geek ?								
364	hub1_fisherman_quest_6_29	Ray	Ну…да. 	Well…yes. 	Eh bien… oui 					yes		end_stop	
365	hub1_fisherman_quest_6_30	Ray	Наги редко выбирают стезю воина...	Nagas rarely choose the path of a warrior...	Les Nagas choisissent rarement la voie du guerrier…	ellipsis							
366	hub1_fisherman_quest_6_31	Ray	большинство из нас становятся врачевателями, счетоводами, поэтами,	most of us become healers, accountants, poets,	La plupart d’entre nous deviennent guérisseurs, comptables, poètes,								
367	hub1_fisherman_quest_6_32	Ray	некоторые становятся историками.	some become historians.	certains deviennent historiens.								
368	hub1_fisherman_quest_6_33	Ray	Я даже встречал парочку адвокатов. 	I've even met a couple of lawyers. 	J’ai même rencontré quelques avocats 					yes		end_stop	
369	hub1_fisherman_quest_6_34	Ray	Поэтому мои родители с детства обучали меня грамоте.	That's why my parents taught me literacy from childhood.	C’est pourquoi mes parents m’ont appris à lire et à écrire dès mon enfance.								
370	hub1_fisherman_quest_6_35	Leon	ОК, лучше бы я не спрашивал. 	OK, I wish I hadn't asked. 	OK, j’aurais préféré ne pas demander 					yes		end_stop	
371	hub1_fisherman_quest_6_36	Leon	Все про тебя понятно, чудила.	I get you, weirdo.	Je vois clair en toi, l'original.								
372	hub1_fisherman_quest_6_37	Leon	Что бы сказали твои родители, увидев тебя с таким как я. 	What would your parents say, seein' you with someone like me 	Qu'auraient dit tes parents en te voyant avec quelqu'un comme moi 				yes	yes	end_stop	end_stop	
373	hub1_fisherman_quest_6_38	Leon	Ловящим сранного угря посреди самого вонючего уголка Столицы? А? \n	Catchin' a shitty eel in the stinkiest corner of the capital? Huh? \n	À pêcher une putain d'anguille au milieu du coin le plus puant de la Capitale ? Hein ? \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
374	hub1_fisherman_quest_6_39	Ray	Ничего.	Nothing.	Rien.								
375	hub1_fisherman_quest_6_40	Leon	Почему?	Why?	Pourquoi ?								
376	hub1_fisherman_quest_6_41	Ray	Когда в нашу деревню пришли рабовладельцы...	When the slavers came to our village...	Quand les esclavagistes sont arrivés dans notre village...	ellipsis							
377	hub1_fisherman_quest_6_42	Ray	мама и папа не захотели отдавать меня. 	Mom and Dad didn't want to give me up 	maman et papa n'ont pas voulu me laisser partir 				yes	yes	end_stop	end_stop	
378	hub1_fisherman_quest_6_43	Ray	Их больше нет. \n	They are no longer with us. \n	Ils ne sont plus là. \n								
379	hub1_fisherman_quest_6_44	Leon	Оу. Я немного перегнул. Извини.\n	Oh. I went a little too far. Sorry.\n	Oh. J'ai un peu dépassé les bornes. Désolé.\n								
380	hub1_fisherman_quest_6_45	Ray	Я так рад, что мы узнали друг друга лучше! \n	I am so glad we got to know each other better! \n	Je suis si content que nous ayons appris à mieux nous connaître ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
381	hub1_fisherman_quest_6_46	Leon	Мда, чувствую что ты от меня не отвалишь. 	Well, I guess you ain't gonna leave me alone. 	Pfff, je sens que tu ne vas pas me lâcher 					yes		end_stop	
382	hub1_fisherman_quest_6_47	Leon	ЕПТ, УГОРЬ! НАКАНЕЦТА! 	FUCK, AN EEL! FINALLY! 	PUTAIN, L'ANGUILLE ! ENFIN 					yes		end_exclamation	
383	hub1_fisherman_quest_6_48	Ray	Ура! Мы сделали это! \n	Hooray! We did it! \n	Hourra ! Nous l'avons fait ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
384	hub1_fisherman_quest_7_1	Motoki	О! Нефритовый угорь!	Oh! A jade eel!	Oh ! Une anguille de jade !								
385	hub1_fisherman_quest_7_2	Motoki	Спасибо вам, ребята. 	Thank you, guys. 	Merci, les gars 					yes		end_stop	
386	hub1_fisherman_quest_7_3	Motoki	Надеюсь, моя просьба не доставила слишком много хлопот?	I hope my request didn't cause too much trouble?	J'espère que ma demande ne vous a pas causé trop de soucis ?								
387	hub1_fisherman_quest_7_4	Ray	Что вы! Совсем нет. Мы были рады помочь.\n	Not at all! We were glad to help.\n	Mais non ! Pas du tout. Nous étions ravis de vous aider.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
388	hub1_fisherman_quest_7_5	Leon	Ты нас отправил к рыбаку. А его нет, он бухой!  	You sent us to the fisherman. And he ain't there, he's drunk!  	Tu nous as envoyés chez le pêcheur. Mais il n'est pas là, il est bourré  					yes		end_exclamation	
389	hub1_fisherman_quest_7_6	Leon	И мы пошли в баню. 	So we went to the bathhouse. 	Et nous sommes allés aux bains 					yes		end_stop	
390	hub1_fisherman_quest_7_7	Leon	Банщик отправил к травнице, потом обратно в баню,	The bathhouse attendant sent us to the herbalist, then back to the bathhouse,	Le baigneur nous a envoyés chez l'herboriste, puis de nouveau aux bains,								
391	hub1_fisherman_quest_7_8	Leon	 потом поперлись к гейшам, потом к барахольщику!	 then we went to the geishas, then to the junk dealer!	 puis on est allés voir les geishas, puis le brocanteur !								
392	hub1_fisherman_quest_7_9	Leon	И в итоге сами выловили эту сраную рыбу!\n	And in the end, we caught that damn fish ourselves!\n	Et au final, on a pêché nous-mêmes ce putain de poisson !\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
393	hub1_fisherman_quest_7_10	Leon	Так что да. Было пиздец как несложно.	So yeah. It was fuckin' easy.	Alors oui. C'était putain de facile.								
394	hub1_fisherman_quest_7_11	Ray	Леон...	Leon...	Leon...	ellipsis							
395	hub1_fisherman_quest_7_12	Motoki	Эм... Ну...	Um... Well...	Euh... Eh bien...	ellipsis							
396	hub1_fisherman_quest_7_13	Motoki	В таком случае следующий рамен за мой счёт.\n	In that case, the next ramen's on me.\n	Dans ce cas, le prochain ramen est pour ma pomme.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
